Car_Weight_kg,Engine_Power_hp,Max_Torque_Nm,Top_Speed_kmh,Acceleration_0_100_kmh,Weight_Distribution_percentage,Transmission_Type,Gear_Count,Front_Tire_Pressure_bar,Rear_Tire_Pressure_bar,Front_Tire_Diameter_cm,Rear_Tire_Diameter_cm,Front_Suspension,Rear_Suspension,Aerodynamics_Drag_Coefficient_Cd,Frontal_Area_m2,Fuel_Type,Fuel_Consumption_L_100km,Front_Brake_Temperature_C,Rear_Brake_Temperature_C,Differential_Type,Front_Camber_Angle_deg,Rear_Camber_Angle_deg,Front_Brakes,Rear_Brakes,Track_Temperature_C,Ambient_Temperature_C,Humidity_percentage,Wind_Speed_kmh,Wind_Direction_deg,Track_Condition,Track_Altitude_m,Track_Length_km,Surface_Type,Number_of_Corners,Number_of_Straights,Max_Gradient_percentage,Number_of_Laps,Driver_Reflexes_ms,Driver_Experience,Driver_Fatigue,Driver_Weight_kg,Race_Strategy,Overtakes,Harsh_Braking_Count,Driver_Mistakes,Average_Lap_Speed_kmh,Total_Race_Time_min,Fastest_Lap_Time_s,Slowest_Lap_Time_s,Front_Tire_Degradation_percentage,Rear_Tire_Degradation_percentage,Tire_Changes_Count,Gearbox_Condition,Engine_Condition,Technical_Problems,Trajectory_Changes,Lap_Time_s
1166.5738488768495,554.9306025852914,637.9290256896518,336.4188782179479,2.8933418777594238,49.531396383465214,sequential,6,1.8982170457618408,2.1993908287187907,59.4395380025324,55.41302609742976,stiff,medium,0.29380167160065757,2.477487880136263,gasoline,24.729580990830588,249.66121632125433,263.3528367957388,limited-slip,-2.1498426958648302,-1.8556866894341593,discs,discs,26.790868451086947,22.553642935015294,60.51530967011508,14.03778042864612,14.016350010226418,damp,609.9524430691496,5.577476152889351,asphalt,18,4,5.806360166450302,46,189.6237808460916,advanced,51.66056566382869,66.58132625816623,aggressive,4,4,1,147.28834677386195,65.98084755919801,87.19465995842836,108.7115069178954,32.70062585875773,0.331597083926372,2,bad,good,no,6,149.73756445421765
1189.7606943203466,498.65907500821163,596.4675554279567,327.3008656459758,2.7961043299101025,46.640600492252055,sequential,7,1.8630868446828714,2.1209342704731178,64.40851917080178,60.030787217424546,medium,soft,0.27217583876706286,1.6023576435109024,electric,15.4834753567681,302.51662656571847,258.18048498972354,open,-0.8269488727504114,-1.1995889690831887,drums,drums,48.007979775373634,21.361654600950857,75.99365183279585,14.572461086121208,206.0998880198831,wet,578.3165448508012,5.957128811766742,gravel,7,2,5.325713388714744,43,242.33259010682303,beginner,86.7458891228007,78.95760255263363,aggressive,7,4,4,170.4852506200016,55.585175839571846,98.34742336115784,94.73063705889675,16.98105664548329,9.109778832125217,0,bad,acceptable,no,9,165.1257881144795
1225.9525375370806,519.7941648252938,623.3948709011315,312.7621699264985,2.998413477528261,51.22757303804924,manual,7,2.036742145333354,1.9346864201161613,60.16323881596933,59.46116362330833,soft,medium,0.3321111226282713,2.504103419545408,gasoline,24.38638475994218,308.32322202586187,286.3587658426477,limited-slip,-1.6339618384356174,-1.4581433844626328,drums,discs,15.549376439674525,17.77359743015325,43.17630900541438,9.976917772892483,68.34624413725844,wet,429.73390096570245,4.7699890482795535,concrete,15,4,5.747807593161492,42,179.63017128910454,advanced,8.500147756436348,75.1093302813989,conservative,8,4,0,111.93428679939348,61.089003667650964,92.91434927667923,98.07099621166775,19.77009101098435,22.355819283321992,0,good,acceptable,no,5,170.39358787057049
1225.8572831617962,549.4812358658984,597.9619210398475,294.88159066205446,3.2603394124150897,53.67932424838118,manual,6,2.2931746323254067,1.8189573534017438,67.06305156494902,56.71279606584034,stiff,medium,0.22932740819480102,1.8470703217841358,gasoline,35.75220725005817,311.6129954826281,297.7189716741473,limited-slip,-1.5977741113935018,-1.1742400272148565,discs,drums,25.38404659231709,3.1235158831696026,51.4189206299114,12.877072049475576,46.089804794534714,damp,483.1237282294493,4.677083209065274,concrete,5,4,4.929911014507504,50,274.9116329804416,beginner,0.15295588853825315,63.19134869536653,conservative,6,0,1,152.41541751692012,61.98123725923511,95.32084895370865,104.99449014756651,26.810673854158072,22.24203016369193,0,acceptable,good,no,4,164.53784520496214
1239.871744318197,597.1909065097161,520.6735353529881,352.168869412386,2.9660391315318413,37.48844645724622,sequential,7,2.3611537593552026,2.1447380005596015,62.27478283893526,54.35454439290901,soft,medium,0.3969444869281867,1.6433906229043795,diesel,17.87687177726263,279.9415540174814,291.02956197948157,limited-slip,-1.559418657452487,-1.748819774779346,drums,discs,25.220156378697112,12.759134218217563,55.39214295246133,8.121872003266775,355.5016091011658,damp,207.36087149697153,4.694764108496983,concrete,9,2,3.395808002417371,53,176.4993476453678,beginner,37.447827160763715,78.6372183647067,conservative,5,0,1,152.17497264099524,59.42958151205425,85.55883886554214,95.16012442758748,23.41618666368979,19.040806019872345,2,bad,good,no,9,162.0776159105532
1172.5392828207189,428.0873933376787,476.48910720824034,306.316550956004,2.914522802732829,46.4134088759619,automatic,6,1.7461276569094832,2.026204694267715,65.85245987601323,68.63829861656228,stiff,stiff,0.34733732784325627,1.2747537432709009,gasoline,20.301226169940573,336.28416384292234,317.43167406956155,limited-slip,-1.570707222786954,-1.2729361515860713,drums,drums,27.99554169005768,19.474184447880635,32.89443406501925,12.23192085519171,318.6645955242714,wet,518.0392877495464,3.5722159937242237,gravel,9,3,2.0686325292294634,39,140.71159422696667,professional,10.262482463472045,66.34760244188288,conservative,0,3,4,130.30960389717083,54.97177011018459,93.6806695197366,117.40651702646953,18.650566198018478,18.790713898381306,0,acceptable,acceptable,yes,7,178.92008931107742
1165.0046778916953,542.3494132471155,564.5281402995554,307.30616501920287,3.2798460697100147,45.4485014383099,manual,5,1.746109562887485,1.8891117303690736,54.12030825841123,61.45907648890661,stiff,soft,0.3282174675368232,1.7241996995718802,diesel,23.860803610053804,331.15044989300117,301.9386995686519,open,-0.9473773776390134,-1.3684222338097942,drums,discs,30.006404089130537,13.647322115280609,55.091497192568625,14.12583080355002,177.79282547787847,dry,307.37114556076256,4.5095981597542885,concrete,18,3,7.42429237073963,39,294.86506284531276,intermediate,36.453514267190265,55.568589541267954,conservative,3,4,2,161.31919197913683,62.3531387688999,83.76427789673008,103.16203838579261,20.521288495866457,25.09090797775672,2,acceptable,acceptable,no,5,163.13209607886128
1212.3677398032958,493.12728057731533,667.1632950704429,279.1572075173249,2.732732403558932,52.961873033323876,sequential,7,1.666375648140654,2.0282827859661747,54.83615972149883,63.07803178477967,stiff,stiff,0.2065481807057491,1.837642407379664,electric,18.15847159023435,313.70532635902293,275.25988203225,open,-1.2192525150268065,-1.607506692487627,drums,discs,18.411061973296064,12.60241906428903,26.694327591921827,9.188103637608387,316.4965380949559,dry,782.1646783895419,4.491308200947928,gravel,6,4,6.838945711148827,45,209.92161353277277,beginner,12.683859565431455,66.54494392353499,aggressive,7,1,1,140.73986471141822,56.95810787282629,86.0114081556733,93.32325633620357,17.225586498327463,29.33504571730517,2,acceptable,good,no,9,171.66321578677497
1104.1295466125955,497.52588670470993,661.6993810060974,329.9712108749718,2.956017590745107,51.630125905427825,automatic,5,1.9000679396528048,2.072741446813045,62.06345526072801,53.15369349466679,soft,medium,0.3943614549878991,2.3118577057763505,gasoline,9.336092112238287,255.99697313179624,362.2543571382216,open,-2.237071654940389,-0.961716869155028,drums,drums,25.973625725967125,32.42440805807726,62.4665977526884,2.5710492246408645,339.09244968744883,wet,244.73579504684415,6.0179135334519485,concrete,6,3,5.569839651993681,43,270.4523999466057,advanced,27.011861440409934,75.9318759321686,conservative,7,4,0,139.9702480383072,58.640583535590096,95.62377168692821,112.30720659472681,26.088877269533423,14.228283359257778,0,bad,good,no,4,154.9015607609577
1246.184649366255,481.3123134839704,574.8584234327479,327.1971560278956,2.848959990282713,53.24170467513494,automatic,6,1.686928870139964,2.251175622406942,56.145534359721815,56.356647921720864,soft,stiff,0.2700731025830925,2.8941644673192957,gasoline,19.00377062388825,255.06434849026334,292.5883244115787,open,-1.0150749625668116,-1.3181307164863034,discs,discs,23.628821383200535,30.0541562001974,40.72086468101227,13.185548378323402,184.86898497892227,wet,302.9920558307697,4.467625878495918,asphalt,7,2,4.127208123013701,52,203.48592412289767,advanced,48.09909180019213,92.39466834944812,aggressive,8,0,2,124.37291055579084,55.52778002769722,83.89719839158033,98.6244853661608,25.99803316786003,17.988783489988457,0,acceptable,bad,yes,5,167.56262466692456
